similarity,suggested_action,why,name_a,polls_a,country_a,cells_a,name_b,polls_b,country_b,cells_b,decision,canonical_name
0.971,SOURCE_TYPO,given name differs slightly (frederic / fredric),Frederic R. Jameson,1992,USA,1992!row51,Fredric R. Jameson,2002,USA,2002!row65,,
0.952,SOURCE_TYPO,given name differs slightly (geoffery / geoffrey),Geoffery Nowell-Smith,1992,UK,1992!row83,Geoffrey Nowell-Smith,1982,UK,1982!row79,,
0.944,SOURCE_TYPO,given name differs slightly (joanthan / jonathan),Joanthan Rosenbaum,1992,USA,1992!row100,Jonathan Rosenbaum,"1,982,200,220,122,020",USA,1982!row96; 2002!row111; 2012!row378; 2022!row826,,
0.941,SOURCE_TYPO,one character differs - likely a transcription slip,José Lius Guarner,1992,Spain,1992!row44,José Luis Guarner,1982,Spain,1982!row43,,
0.938,SOURCE_TYPO,given name differs slightly (ferroni / ferronian),Ferroni Brigade,2012,Austria/Germany,2012!row238,Ferronian Brigade,2022,Finland/Germany/Austria,2022!row569,,
0.929,SOURCE_TYPO,given name differs slightly (andrei / andrey),Andrei Plakhov,"199,220,122,022",Russia,1992!row87; 2012!row36; 2022!row194,Andrey Plakhov,2002,Russia,2002!row101,,
0.917,SOURCE_TYPO,given name differs slightly (andrej / andrew),Andrej Šprah,2022,Slovenia,2022!row195,Andrew Šprah,2012,Slovenia,2012!row41,,
0.917,SOURCE_TYPO,given name differs slightly (erica / erika),Erica Gregor,2012,Germany,2012!row220,Erika Gregor,2022,Germany,2022!row539,,
0.909,SOURCE_TYPO,given name differs slightly (boran / goran),Boran Gocić,1992,Belgrade,1992!row42,Goran Gocic,2012,Serbia,2012!row283,,
0.952,ALIAS,middle name/initial present in one spelling only,Sergio Grmek Germani,2012,Italy,2012!row739,Sergio M. Grmek Germani,2022,Italy,2022!row97,,
0.947,ALIAS,known short form of the same given name,Luc Sante,2012,USA/Belgium,2012!row465,Lucy Sante,2022,USA,2022!row42,,Lucy Sante
0.947,ALIAS,known short form of the same given name,Manu Yáñez-Murillo,2012,Spain,2012!row478,Manuel Yáñez-Murillo,2022,Spain,2022!row1014,,
0.944,ALIAS,middle name/initial present in one spelling only,Richard I Suchenski,2022,USA,2022!row1366,Richard Suchenski,2012,USA,2012!row690,,
0.941,ALIAS,middle name/initial present in one spelling only,Thomas Elsaesser,"19,922,002",Netherlands / UK,1992!row33; 2002!row39,Thomas P Elsaesser,2012,Netherlands,2012!row790,,
0.929,ALIAS,middle name/initial present in one spelling only,Maria Delgado,2022,UK,2022!row1036,Maria M Delgado,2012,UK,2012!row494,,
0.923,ALIAS,middle name/initial present in one spelling only,Lotte Eisner,"19,621,972",France,1962!row13; 1972!row28,Lotte H. Eisner,"19,521,982",France,1952!row20; 1982!row32,,
0.889,ALIAS,known short form of the same given name,Anthony Macklin,1972,USA,1972!row47,Tony Macklin,"199,220,022,012",USA,1992!row65; 2002!row82; 2012!row807,,
0.87,ALIAS,known short form of the same given name,Thomas Dawson,2012,UK,2012!row787,Tom Dawson,2022,UK,2022!row1553,,
0.788,ALIAS,middle name/initial present in one spelling only,Luís Miguel Oliveira,2022,Portugal,2022!row986,Luís Oliveira,2012,Portugal,2012!row471,,
0.6,ALIAS,same tokens in a different order,Muszatics Péter,2022,Hungary,2022!row1170,Péter Muszatics,2012,Hungary,2012!row649,,
0.588,ALIAS,same tokens in a different order,Santos Zunzunegui,2012,Spain,2012!row732,Zunzunegui Santos,2022,Spain,2022!row1636,,
0.583,ALIAS,same tokens in a different order,Fung Ka Ming,2012,Hong Kong,2012!row255,Ka Ming Fung,2022,Hong Kong,2022!row879,,
0.5,ALIAS,same tokens in a different order,Inuhiko Yomota,2022,Japan,2022!row39,Yomota Inuhiko,2002,Japan,2002!row61,,
0.5,ALIAS,same tokens in a different order,Ling Zhang,2012,China,2012!row456,Zhang Ling,2022,China,2022!row1634,,
0.5,ALIAS,same tokens in a different order,Sato Tadao,1992,Japan,1992!row104,Tadao Sato,"1,972,198,220,022,010",Japan,1972!row66; 1982!row100; 2002!row117; 2012!row778,,
0.467,ALIAS,same tokens in a different order,Hiroshi Komatsu,2012,Japan,2012!row307,KOMATSU Hiroshi,2022,Japan,2022!row928,,
0.462,ALIAS,same tokens in a different order,Ferenc Zalaba,2012,Hungary,2012!row232,Zalaba Ferenc,2022,Hungary,2022!row1633,,
0.455,ALIAS,same tokens in a different order,Gábor Köves,2022,Hungary,2022!row588,Köves Gábor,2012,Hungary,2012!row434,,
0.909,REVIEW,"different given names, high similarity",J. Hoberman,"198,219,922,022",USA,1982!row51; 1992!row47; 2022!row709,Jim Hoberman,"20,022,012",USA,2002!row60; 2012!row363,,
0.889,REVIEW,"different given names, high similarity",Deane Williams,2022,Australia,2022!row459,Evan Williams,1992,Australia,1992!row127,different people,
0.848,REVIEW,middle name differs AND countries conflict - could be two people,Linda Ruth Williams,2012,UK,2012!row454,Linda Williams,2002,USA,2002!row140,different people,
0.786,REVIEW,,Abé Mark Nornes,2012,USA,2012!row2,Markus Nornes,2022,USA,2022!row1064,,
0.75,REVIEW,,Dan and Edna Fainaru,2022,Israel,2022!row408,Edna Fainaru,"199,220,022,012",Israel,1992!row35; 2002!row43; 2012!row203,I would want the 2022 Fainaru ballot to appear under both Dan and Edna Farinaru page,
0.722,REVIEW,,James Rodrigues,2022,UK,2022!row732,João Carlos Rodrigues,1982,Brazil,1982!row95,different people,
0.88,DIFFERENT_PEOPLE,both appear in the same poll,Matt Turner,2022,UK,2022!row1080,Matthew Turner,2022,UK,2022!row1088,,
0.87,DIFFERENT_PEOPLE,both appear in the same poll,Dan Fainaru,"1,982,199,220,022,010",Israel,1982!row34; 1992!row34; 2002!row42; 2012!row148,Edna Fainaru,"199,220,022,012",Israel,1992!row35; 2002!row43; 2012!row203,,
0.867,DIFFERENT_PEOPLE,both appear in the same poll,Deane Williams,2022,Australia,2022!row459,Melanie Williams,2022,UK,2022!row88,,
0.857,DIFFERENT_PEOPLE,both appear in the same poll,John Oliver,2012,UK,2012!row371,Jos Oliver,2012,Spain,2012!row381,,
0.846,DIFFERENT_PEOPLE,both appear in the same poll,Ben Mitchell,2022,UK,2022!row272,Megan Mitchell,2022,UK,2022!row1100,,
0.846,DIFFERENT_PEOPLE,both appear in the same poll,Ben Mitchell,2022,UK,2022!row272,Wendy Mitchell,2022,UK,2022!row1603,,
0.846,DIFFERENT_PEOPLE,different given names,Ed Buscombe,"19,922,022",UK,1992!row14; 2022!row492,Edward Buscombe,2012,UK,2012!row205,,
0.846,DIFFERENT_PEOPLE,both appear in the same poll,Jan Holmberg,"20,122,022",Sweden,2012!row338; 2022!row740,Jonas Holmberg,2022,Sweden,2022!row822,,
0.839,DIFFERENT_PEOPLE,different given names,Antonio Rodrigues,2012,Portugal,2012!row61,Nuno Rodrigues,2022,Portugal,2022!row1233,,
0.833,DIFFERENT_PEOPLE,both appear in the same poll,Jorge García,2012,Argentina,2012!row379,Roger Garcia,2012,Hong Kong,2012!row707,,
0.828,DIFFERENT_PEOPLE,both appear in the same poll,Brian Jacobson,2022,USA,2022!row56,Harlan Jacobson,2022,USA,2022!row653,,
0.828,DIFFERENT_PEOPLE,different given names,Evan Williams,1992,Australia,1992!row127,Melanie Williams,2022,UK,2022!row88,,
0.828,DIFFERENT_PEOPLE,both appear in the same poll,Melanie Williams,2022,UK,2022!row88,Mike Williams,2022,UK,2022!row1148,,
0.824,DIFFERENT_PEOPLE,different given names,Adam Cook,2022,Canada,2022!row112,Pam Cook,"199,220,022,012",UK,1992!row20; 2002!row24; 2012!row616,,
0.818,DIFFERENT_PEOPLE,both appear in the same poll,Adam Murray,2022,UK,2022!row115,Iana Murray,2022,UK/Philippines,2022!row686,,
0.818,DIFFERENT_PEOPLE,different given names,Ali Smith,2012,UK,2012!row22,Caitlin Smith,2022,UK,2022!row313,,
0.818,DIFFERENT_PEOPLE,both appear in the same poll,Stuart Brown,2022,UK,2022!row1504,Tara Brown,2022,UK,2022!row1522,,
